Companies;Company Sectors;Company Headquarters;Countries;Regions;Response Sectors;Backdate;Title;Responded To;Tags;Responded;Authors;URL;Link to Company Page;Story;Response
Shell plc;Hydrogen|Oil, gas & coal;GB;IE;;Oil, gas & coal;02.06.2009;Shell response re Corrib gas protest;Ireland: Archbishop Desmond Tutu raises concerns over alleged assault on a protestor during protest against Shell's Corrib project;Protests|Violence;Yes;Terry Nolan, Managing Director, Shell E&P Ireland;https://www.business-humanrights.org/en/latest-news/shell-response-re-corrib-gas-protest/;https://www.business-humanrights.org/en/companies/shell-plc/;;
Shell plc;Hydrogen|Oil, gas & coal;GB;NG;;Oil, gas & coal;08.07.2009;Shell response re climate change report;"NGO report on Shell's impact on climate change - says Shell is ""dirtiest"" oil companies regarding carbon emissions";Clean, Healthy & Sustainable Environment|Climate Crisis;Yes;Shell;https://www.business-humanrights.org/en/latest-news/shell-response-re-climate-change-report/;https://www.business-humanrights.org/en/companies/shell-plc/;;
Shell plc;Hydrogen|Oil, gas & coal;GB;NG;;Oil, gas & coal;08.11.2006;Shell response to Urgent Action statement by Movement for the Survival of the Ogoni People (MOSOP);"Movement for the Survival of the Ogoni People issues ""urgent action"" regarding alleged lack of consultation by Shell";Clean, Healthy & Sustainable Environment|Security Issues & Conflict Zones|UNEP;Yes;Shell;https://www.business-humanrights.org/en/latest-news/shell-response-to-urgent-action-statement-by-movement-for-the-survival-of-the-ogoni-people-mosop/;https://www.business-humanrights.org/en/companies/shell-plc/;;
Coca-Cola;Food & beverage;US;IN;;Food & beverage;22.08.2005;Coca-Cola response to concerns regarding water consumption in Gangaikondan, Tamil Nadu, India;Gangaikondan, India: Protest against proposed Coca-Cola bottling factory, on grounds it will exacerbate water scarcity in the area;Access to Water|Clean, Healthy & Sustainable Environment|Economic, Social, and Cultural Rights|Governments|Lawsuits & regulatory action;Yes;The Coca-Cola Company;https://www.business-humanrights.org/en/latest-news/coca-cola-response-to-concerns-regarding-water-consumption-in-gangaikondan-tamil-nadu-india/;https://www.business-humanrights.org/en/companies/coca-cola/;;
Shell plc;Hydrogen|Oil, gas & coal;GB;NG;;Oil, gas & coal;17.02.2010;Shell response re ECCR report;Nigeria: Report on Shell’s environmental & social impacts, based on case studies by NGOs working with Niger Delta communities;Clean, Healthy & Sustainable Environment|Personal Health|Security Issues & Conflict Zones;Yes;Shell;https://www.business-humanrights.org/en/latest-news/shell-response-re-eccr-report/;https://www.business-humanrights.org/en/companies/shell-plc/;;
Archer Daniels Midland (ADM);Agriculture & livestock;US;US;;Agriculture & livestock|Food & beverage;23.05.2006;Response of Archer Daniels Midland to “Toxic 100” ranking;"""Toxic 100"" list of corporate air polluters, prepared by Univ. of Massachusetts research institute (PERI): Alcoa in top 10.";Clean, Healthy & Sustainable Environment|Personal Health;Yes;Archer Daniels Midland;https://www.business-humanrights.org/en/latest-news/response-of-archer-daniels-midland-to-toxic-100-ranking/;https://www.business-humanrights.org/en/companies/archer-daniels-midland-adm/;;
Inditex;Clothing & textile|Footwear|Retail;ES;BD;;Clothing & textile;02.05.2005;Inditex response: Letter sent by Deputy Chairman & CEO of Inditex to Secretary General of ITGLWF- adressing his questions regarding Spectrum Sweaters [Bangladesh;Clean Clothes Campaign says companies sourcing from Bangladesh factory failed to detect serious problems before building collapsed (includes responses by Carrefour, Zara, KarstadtQuelle, Cotton Group, Neckermann, Scapino, Steillmann);CEOs & Company boards|Company Policies|Company Reporting|Company Support for Initiatives Promoting Development, Economic and Social Rights|Deaths|Economic, Social, and Cultural Rights|Injuries|Labour Rights|Personal Health;Yes;José María Castellano Rios, Deputy Chairman & CEO, Inditex;https://www.business-humanrights.org/en/latest-news/inditex-response-letter-sent-by-deputy-chairman-ceo-of-inditex-to-secretary-general-of-itglwf-adressing-his-questions-regarding-spectrum-sweaters-bangladesh/;https://www.business-humanrights.org/en/companies/inditex/;;
Coca-Cola FEMSA;Food & beverage;MX;MX;;Food & beverage;06.09.2005;Response of Coca-Cola FEMSA to allegation of sexual orientation discrimination in Mexico;"Mexico: Former senior manager at Coca-Cola FEMSA alleges he was fired because he is gay;  Coca-Cola FEMSA denies it";Company Policies|Company Support for Initiatives Promoting Civil & Political Rights|Sexual orientation & gender identity discrimination;Yes;Coca-Cola FEMSA;https://www.business-humanrights.org/en/latest-news/response-of-coca-cola-femsa-to-allegation-of-sexual-orientation-discrimination-in-mexico/;https://www.business-humanrights.org/en/companies/coca-cola-femsa/;;
BHP;Mining|Oil, gas & coal;AU;PE;;Mining;01.03.2005;company response: Statement by Paul Warner, Manager, Community Relations and Institutional Affairs, BHP Billiton Base Metals;Peru: Increased mining is harming local communities, says Christian Aid report;Clean, Healthy & Sustainable Environment|Personal Health;Yes;Paul Warner, Manager, Community Relations and Institutional Affairs, BHP Billiton Base Metals;https://www.business-humanrights.org/en/latest-news/company-response-statement-by-paul-warner-manager-community-relations-and-institutional-affairs-bhp-billiton-base-metals/;https://www.business-humanrights.org/en/companies/bhp-formerly-bhp-billiton/;;
Rio Tinto;Mining;GB;MG;;Mining;30.10.2007;Rio Tinto response to report by Panos and Friends of the Earth regarding the ilmenite mine in Madagascar;Madagascar: Collection of testimonies by indigenous Antanosy describe loss of livelihoods, agricultural land due to Rio Tinto mine - recognise some improved services;Clean, Healthy & Sustainable Environment|Economic, Social, and Cultural Rights;Yes;Rio Tinto;https://www.business-humanrights.org/en/latest-news/rio-tinto-response-to-report-by-panos-and-friends-of-the-earth-regarding-the-ilmenite-mine-in-madagascar/;https://www.business-humanrights.org/en/companies/rio-tinto/;;
Coca-Cola;Food & beverage;US;CO;;Food & beverage;02.10.2008;Coca-Cola response to Guardian article;Coca-Cola lawsuit (re Colombia);Labour Rights|Lawsuits & regulatory action;Yes;Coca-Cola;https://www.business-humanrights.org/en/latest-news/coca-cola-response-to-guardian-article/;https://www.business-humanrights.org/en/companies/coca-cola/;;
adidas;Clothing & textile|Footwear|Retail|Sporting goods;DE;TH;;Clothing & textile|Sporting goods;30.06.2006;adidas response to the report “The Life of Football Factory Workers in Thailand” issued by Thai Labour Campaign and the CCC on June 30, 2006;"New Thai study: Women making adidas World Cup footballs and Mikasa footballs get ""poverty wages""";Human rights monitoring|Labour Rights|Living Wage|Supply Chains;Yes;adidas-Salomon;https://www.business-humanrights.org/en/latest-news/adidas-response-to-the-report-the-life-of-football-factory-workers-in-thailand-issued-by-thai-labour-campaign-and-the-ccc-on-june-30-2006/;https://www.business-humanrights.org/en/companies/adidas/;;We are disappointed that TLC [Thai Labour Campaign] - whom adidas has openly engaged with in the past - did not contact us beforehand and request direct access to the factory. Instead the authors of the report have relied on information collected through a small number of off-site worker interviews. As a result, the report contains many inaccuracies and draws a misleading picture about the factory. [response covers specific issues including trade union rights, wages, temporary & contract labour]
Shell plc;Hydrogen|Oil, gas & coal;GB;SA;;Oil, gas & coal;02.10.2007;Shell response to article by former Shell executive Paddy Briggs;"'Former Shell executive decries ""The myth of Corporations’ commitments to Human Rights""'";Protection of Reputation;Yes;Shell;https://www.business-humanrights.org/en/latest-news/shell-response-to-article-by-former-shell-executive-paddy-briggs/;https://www.business-humanrights.org/en/companies/shell-plc/;;
Shell plc;Hydrogen|Oil, gas & coal;GB;NG|PH|RU|US|ZA;;Oil, gas & coal;29.06.2005;Shell response to 'The Other Shell Report' published by Friends of the Earth;Representatives from communities living near Shell's operations around the world to raise concerns at its Annual General Meeting;;Yes;Shell;https://www.business-humanrights.org/en/latest-news/shell-response-to-the-other-shell-report-published-by-friends-of-the-earth/;https://www.business-humanrights.org/en/companies/shell-plc/;;
BHP;Mining|Oil, gas & coal;AU;BW;;Diamond|Mining;30.03.2005;BHP Billiton statement in response to Survival International news release (concerning Botswana);Botswana: Survival International warns BHP Billiton's exploration of Kalahari lacks Bushmen's consent, undermines their rights to ancestral land;Access to Information|Cultural Rights|Free, prior & informed consent|Indigenous Peoples|Right to Education;Yes;BHP Billiton;https://www.business-humanrights.org/en/latest-news/bhp-billiton-statement-in-response-to-survival-international-news-release-concerning-botswana/;https://www.business-humanrights.org/en/companies/bhp-formerly-bhp-billiton/;;
TotalEnergies (formerly Total);Energy|Hydrogen|Oil, gas & coal;FR;MM;;Oil, gas & coal;21.05.2008;Total response to statement by Burma Campaign UK;Burma Campaign UK says Total has helped to keep in power govt. that is “killing thousands by denying aid”;People living with HIV/AIDs|Personal Health;Yes;Total;https://www.business-humanrights.org/en/latest-news/total-response-to-statement-by-burma-campaign-uk/;https://www.business-humanrights.org/en/companies/totalenergies-formerly-total/;;
Shell plc;Hydrogen|Oil, gas & coal;GB;NG;;Oil, gas & coal;22.01.2009;Shell response re gas flaring in Nigeria;Report says UK companies “getting away” with human rights abuses abroad - proposes new UK Commission on Business, Human Rights & Environment;Clean, Healthy & Sustainable Environment|Personal Health;Yes;Shell;https://www.business-humanrights.org/en/latest-news/shell-response-re-gas-flaring-in-nigeria/;https://www.business-humanrights.org/en/companies/shell-plc/;;
BHP;Mining|Oil, gas & coal;AU;CO|GB|GT|ID|PH;;Mining;10.11.2008;BHP Billiton statement re London Mining Network reports;London Mining Network report of BHP Billiton annual meeting says company failed to respond to social & environmental concerns;Clean, Healthy & Sustainable Environment|Climate Crisis|Deaths|Economic, Social, and Cultural Rights|Indigenous Peoples|Personal Health;Yes;BHP Billiton;https://www.business-humanrights.org/en/latest-news/bhp-billiton-statement-re-london-mining-network-reports/;https://www.business-humanrights.org/en/companies/bhp-formerly-bhp-billiton/;;
Shell plc;Hydrogen|Oil, gas & coal;GB;NG;;Oil, gas & coal;04.05.2010;Shell response re article on gas flaring in Nigeria;Independent (UK) says Shell’s Opolo-Epie facility is newest gas flare in Nigeria - flares allegedly have negative impacts on environment, life expectancy, infant mortality;Clean, Healthy & Sustainable Environment|Climate Crisis|Other Discrimination|Personal Health;Yes;Mutiu Sunmonu, Managing Director, Shell Petroleum Development Company of Nigeria;https://www.business-humanrights.org/en/latest-news/shell-response-re-article-on-gas-flaring-in-nigeria/;https://www.business-humanrights.org/en/companies/shell-plc/;;
Rio Tinto;Mining;GB;US;;Mining;26.04.2011;Rio Tinto's response;Campaigners outside Rio Tinto general meeting claim air pollution from copper mine is responsible for premature deaths & congenital defects in children;Children|Clean, Healthy & Sustainable Environment|Deaths|Personal Health;Yes;Rio Tinto;https://www.business-humanrights.org/en/latest-news/rio-tintos-response/;https://www.business-humanrights.org/en/companies/rio-tinto/;;
DHL (part of Deutsche Post);Express delivery;DE;ZA;;Express delivery;17.05.2011;Deutsche Post DHL response and rejoinders from UNI Global Union & International Transport Workers' Federation;South Africa: Union accuses DHL of suspending manager because of union membership & intimidating workers who attempt to join unions;UN Global Compact;Yes;Compiled by Business & Human Rights Resource Centre;https://www.business-humanrights.org/en/latest-news/deutsche-post-dhl-response-and-rejoinders-from-uni-global-union-international-transport-workers-federation/;https://www.business-humanrights.org/en/companies/dhl-part-of-deutsche-post/;;
Shell plc;Hydrogen|Oil, gas & coal;GB;;;Oil, gas & coal;27.05.2011;Shell response to Friends of the Earth International and Milieudefensie materials;"Friends of the Earth publishes spoof ""erratum"" to Shell's annual report - says Shell ""apologises"" for human rights, environmental abuses";;Yes;Shell;https://www.business-humanrights.org/en/latest-news/shell-response-to-friends-of-the-earth-international-and-milieudefensie-materials/;https://www.business-humanrights.org/en/companies/shell-plc/;;
Vale;Energy|Metals & steel|Mining|Oil, gas & coal;BR;BR;;Logging & lumber|Metals & steel|Mining|Oil, gas & coal|Pesticide|Railroad;31.05.2011;[PDF] Revisão feita pela Vale do Relatório: “Os impactos sobre os direitos humanos relacionados à indústria da mineração e da siderurgia em Açailândia, Brasil - Quanto valem os direitos humanos?”, Divulgado em 19/05/2011, no Estado do Maranhão, pela;NGOs publish report on Brazilian mining & steel industry, raise concerns about health of communities close to operations, call on Vale to stop alleged pollution;Access to Information|Clean, Healthy & Sustainable Environment|Indigenous Peoples|Labour Rights|Lawsuits & regulatory action|Personal Health;Yes;Vale;https://www.business-humanrights.org/en/latest-news/pdf-revisão-feita-pela-vale-do-relatório-os-impactos-sobre-os-direitos-humanos-relacionados-à-indústria-da-mineração-e-da-siderurgia-em-açailândia-brasil-quanto-valem-os-direitos-humanos-divulgado-em-19052011-no-estado-do-maranhão-pela/;https://www.business-humanrights.org/en/companies/vale/;;
Shell plc;Hydrogen|Oil, gas & coal;GB;BR;;Oil, gas & coal;14.06.2011;Response from Shell to article alleging death threats against opponents and production of ethanol in occupied land belonging to Guarani Indians by its supplier in Brazil;Brazil: Biofuel joint venture by Shell & Cosan is allegedly buying sugarcane from rancher issuing death threats to opponents and growing sugarcane on occupied Guarani's ancestral land;Death threats|Displacement|Indigenous Peoples|Ownership of Property & Possessions;Yes;Shell;https://www.business-humanrights.org/en/latest-news/response-from-shell-to-article-alleging-death-threats-against-opponents-and-production-of-ethanol-in-occupied-land-belonging-to-guarani-indians-by-its-supplier-in-brazil/;https://www.business-humanrights.org/en/companies/shell-plc/;;
Vale;Energy|Metals & steel|Mining|Oil, gas & coal;BR;CO;;Mining;05.07.2011;Response from Vale to article alleging abuses of freedom of association rights of its workers in Colombia;Colombia: Vale Coal Colombia allegedly made reprisals against workers who tried to unionise, says US union USW;Freedom of Association|Labour Rights;Yes;Vale;https://www.business-humanrights.org/en/latest-news/response-from-vale-to-article-alleging-abuses-of-freedom-of-association-rights-of-its-workers-in-colombia/;https://www.business-humanrights.org/en/companies/vale/;;
TotalEnergies (formerly Total);Energy|Hydrogen|Oil, gas & coal;FR;BO;;Oil, gas & coal;10.10.2011;Response from Total to human rights and gender concerns related to the Capitania Muyupampa exploration in Bolivia;Bolivia: ONG analiza evaluación de impactos en derechos humanos de proyecto hidrocarburífero de Total y detecta posibles abusos;Free, prior & informed consent|Gender Discrimination|Women;Yes;Total;https://www.business-humanrights.org/en/latest-news/response-from-total-to-human-rights-and-gender-concerns-related-to-the-capitania-muyupampa-exploration-in-bolivia/;https://www.business-humanrights.org/en/companies/totalenergies-formerly-total/;;
PepsiCo;Food & beverage;US;IN;;Food & beverage;13.12.2011;PepsiCo response to Business & Human Rights Resource Centre Re: India Resource Center Report dated November 30, 2011;"NGOs allege PepsiCo's claim of a ""positive water balance"" in India does not match reality";Access to Water;Yes;PepsiCo;https://www.business-humanrights.org/en/latest-news/pepsico-response-to-business-human-rights-resource-centre-re-india-resource-center-report-dated-november-30-2011/;https://www.business-humanrights.org/en/companies/pepsico/;;
Coca-Cola FEMSA;Food & beverage;MX;CO;;Food & beverage;31.01.2012;[Respuesta de Coca-Cola Femsa a alegaciones sobre derechos sindicales en Colombia;Colombia: Doce trabajadores de Proservis, contratista de Coca-Cola Femsa despedidos por sindicalizarse, otros dirigentes del sindicato investigados por la Fiscalía denuncian persecución;Corporate Legal Accountability|Freedom of Association|Injuries|Labour Rights|Personal Health|Security Issues & Conflict Zones;Yes;Coca-Cola Femsa, Industria Nacional de Gasesosas SA;https://www.business-humanrights.org/en/latest-news/respuesta-de-coca-cola-femsa-a-alegaciones-sobre-derechos-sindicales-en-colombia/;https://www.business-humanrights.org/en/companies/coca-cola-femsa/;;
Vale;Energy|Metals & steel|Mining|Oil, gas & coal;BR;BR;;Mining;31.01.2012;Vale response;"Brazil: Trade unions express concerns over ""intimidations"" of unionised workers by Vale's fertilisers branch";Freedom of Association|Labour Rights|Personal Health;Yes;Vale;https://www.business-humanrights.org/en/latest-news/vale-response/;https://www.business-humanrights.org/en/companies/vale/;;
Shell plc;Hydrogen|Oil, gas & coal;GB;NG;;Oil, gas & coal;10.02.2012;Shell's response to Amnesty International/Friends of the Earth complaint to OECD;In complaint to OECD, Amnesty International & Friends of the Earth assert Shell in breach of OECD Guidelines;Access to Information|Access to Water|Clean, Healthy & Sustainable Environment|Economic, Social, and Cultural Rights|OECD Guidelines|Personal Health;Yes;Shell;https://www.business-humanrights.org/en/latest-news/shells-response-to-amnesty-internationalfriends-of-the-earth-complaint-to-oecd/;https://www.business-humanrights.org/en/companies/shell-plc/;;
Nestlé;Food & beverage;CH;PK;;Food & beverage;28.02.2012;Nestlé response;New film accuses Nestlé of exploiting water supplies for its bottled water brands;Access to Water;Yes;Nestlé;https://www.business-humanrights.org/en/latest-news/nestlé-response/;https://www.business-humanrights.org/en/companies/nestlé/;;
ExxonMobil;Oil, gas & coal;US;US;;Oil, gas & coal;08.02.2012;ExxonMobil response re alleged connections with organizations that engage in anti-LGBT activities;USA: Report of Human Rights Campaign Foundation rates over 300 companies on their lesbian, gay, bisexual & transgender policies;Gender Discrimination|Other Discrimination|Sexual orientation & gender identity discrimination;Yes;ExxonMobil;https://www.business-humanrights.org/en/latest-news/exxonmobil-response-re-alleged-connections-with-organizations-that-engage-in-anti-lgbt-activities/;https://www.business-humanrights.org/en/companies/exxonmobil/;;
