document_id,text,cluster,cluster_label,cluster_rq
doc_0000,We wish to state categorically that there was no physical attack of any kind on Mr Corduff by anyone while he was present on our construction site.,0,Denial and Counter Evidence,"[1, 2, 3, 4, 5]"
doc_0000,The security staff employed by the Corrib Gas Partners have been fully briefed on the ethical and behavioural standards they are expected to meet when engaging with community members in the course of their work.,1,"Assurances, Standards, Grievances","[1, 3, 4, 5]"
doc_0000,"Almost six weeks after making these allegations, we understand that Mr Corduff has not to date made any formal complaint to the Gardaí (Irish police) about the matter.",0,Denial and Counter Evidence,"[1, 2, 3, 4, 5]"
doc_0000,[also includes security log of the events],0,Denial and Counter Evidence,"[1, 2, 3, 4, 5]"
doc_0001,The report makes assumptions about investment decisions that are yet to be made by Shell and indeed others.,6,Responsibility and transparency,"[2, 3, 4, 5]"
doc_0001,"Speculation about who is more intensive than who distracts from the need to address CO2 on a global basis, across the critical countries.",6,Responsibility and transparency,"[2, 3, 4, 5]"
doc_0001,That issue is bigger than speculative assumptions about any one company at any single moment in time.,22,Regulatory and complexity delays,"[2, 3, 4]"
doc_0001,The assertion that Shell is lobbying against regulation on climate change is plain wrong.,6,Responsibility and transparency,"[2, 3, 4, 5]"
doc_0002,"For many years, MOSOP has claimed that SPDC [Shell Petroleum Development Company of Nigeria] is anxious to return to Ogoniland in order to resume oil production.",6,Responsibility and transparency,"[2, 3, 4, 5]"
doc_0002,"During that time, SPDC has consistently stated that it would not return to Ogoni to produce hydrocarbons without consultation with the Ogonis...",6,Responsibility and transparency,"[2, 3, 4, 5]"
doc_0002,"We understand that Father Kukah has been at pains to invite all shades of Ogoni opinion, including MOSOP, to the dialogue meetings.",12,Community engagement & grievances,"[3, 4, 5]"
doc_0002,"However it seems that, for whatever reason, MOSOP has not attended all meetings...",12,Community engagement & grievances,"[3, 4, 5]"
doc_0003,Water scarcity is a serious issue in India where some areas have been experiencing drought conditions for several years.,6,Responsibility and transparency,"[2, 3, 4, 5]"
doc_0003,The Coca-Cola Company shares the concerns of local communities about groundwater reserves...,6,Responsibility and transparency,"[2, 3, 4, 5]"
doc_0003,"To begin, we would like to explain our relationship with the South India Bottling Company Private Limited (SIBCL).",6,Responsibility and transparency,"[2, 3, 4, 5]"
doc_0003,"SIBCL is owned and run by Indian businessmen, and has agreed to be a franchise bottler for The Coca-Cola Company.",6,Responsibility and transparency,"[2, 3, 4, 5]"
doc_0003,"The SIBCL bottling plant would be the first major industry in the region, generating employment and helping drive economic growth and prosperity in the region.",6,Responsibility and transparency,"[2, 3, 4, 5]"
doc_0003,This progressive view is shared by various local community leaders in the region...,1,"Assurances, Standards, Grievances","[1, 3, 4, 5]"
doc_0003,SIBCL will not draw any water from the river or ground water on its premises or ground water from any adjacent villages...,6,Responsibility and transparency,"[2, 3, 4, 5]"
doc_0003,the SIBCL bottling unit will have a state-of-the-art effluent treatment plant...,6,Responsibility and transparency,"[2, 3, 4, 5]"
doc_0003,"In addition, initiatives are underway such as undertaking green belt projects, afforestation drives, and providing drinking water to the local community...",1,"Assurances, Standards, Grievances","[1, 3, 4, 5]"
doc_0003,The issue presented in this article has been amicably resolved. The photographer has removed the bill board containing the Coca-Cola brand logo. The Company has reciprocated by withdrawing its legal notice to him.,1,"Assurances, Standards, Grievances","[1, 3, 4, 5]"
doc_0004,We have received the report and are looking carefully at its recommendations to see if any of these can help improve Shell Petroleum Development Company’s (SPDC) overall social and environmental performance.,1,"Assurances, Standards, Grievances","[1, 3, 4, 5]"
doc_0004,In a number of cases the recommendations are already part of existing policies and practices...,1,"Assurances, Standards, Grievances","[1, 3, 4, 5]"
doc_0004,"This report is a useful contribution to the debate in the delta, and SPDC has had, and will continue to have, detailed conversations about the issues with those who are concerned about the situation of the millions of people living there.",1,"Assurances, Standards, Grievances","[1, 3, 4, 5]"
doc_0005,The reported emissions used for this ranking system are from 2002.,6,Responsibility and transparency,"[2, 3, 4, 5]"
doc_0005,"In 2003, ADM [Archer Daniels Midland] commenced a 10-year program to reduce emissions from its major U.S. facilities by approximately 65,000 tons per year over a period of ten years.",6,Responsibility and transparency,"[2, 3, 4, 5]"
doc_0005,"As those reductions are realized, ADM’s score will be greatly reduced under the methodology used by the Institute.",11,Flaring reduction targets and investments,"[2, 3, 4, 5]"
doc_0005,"Notably, emissions of a single compound at a single facility account for nearly 70% of ADM’s total score.",6,Responsibility and transparency,"[2, 3, 4, 5]"
doc_0005,"However, when the controls planned for that facility are completed, those emissions will be reduced by greater than 95% and may be reduced to nearly zero...",6,Responsibility and transparency,"[2, 3, 4, 5]"
doc_0006,we hereby enclose a summary of the commitments and action lines presently implemented by INDITEX together with the BSC] platform and with other social agents involved,1,"Assurances, Standards, Grievances","[1, 3, 4, 5]"
doc_0006,"- That the audit of Asian manufacturers, carried out in accordance with the BSCI methodology and by SAI-certified auditors, is still in progress and ig expected to be completed by May end.",4,Remediation and Responsibility Limits,"[1, 2, 3, 4, 5, 6]"
doc_0006,"- Last, that, once the abovementioned audit be conrleted, a concentration and future normalization process will begin wtich will result in the beginning of corrective action plans in the factcries of the INDITEX suppliers in Asia.",1,"Assurances, Standards, Grievances","[1, 3, 4, 5]"
doc_0006,"Although the factories of the suppliers in Bangla:k sh were being audited when the catastrophe occurred, Spectrum wes not included in the review-normalization process for two reasons: first, the contractual manufacture relationship had taken place thoug)i 1 trader in India, and; secondly, the supplier did net provided the name of its subcontracts.",1,"Assurances, Standards, Grievances","[1, 3, 4, 5]"
doc_0006,"Ensure that the survivors as well as the families of those that ded receive exemplary compensation, as well as the payment of any outstanding waces or henefits. If the manufacturer does not do so, then the branas or retailers sourci» \ ar the factory should take joint responsibility.",1,"Assurances, Standards, Grievances","[1, 3, 4, 5]"
doc_0006,Inditex called the BSCI platform to propose a join work strategy of all European retailers.,1,"Assurances, Standards, Grievances","[1, 3, 4, 5]"
doc_0006,"INDITEX promoted the creation of a Task Force beaded by BSCI and comprised of BSCI representatives, lozal unions, local and international NGO's, local governments and manufacturers.",1,"Assurances, Standards, Grievances","[1, 3, 4, 5]"
doc_0006,"That INDITEX invited some of your representatives (M23srs. Mountadas and Boix, from CC.OO (Spain), to take part in said Task Force.",1,"Assurances, Standards, Grievances","[1, 3, 4, 5]"
doc_0006,- To carry out a professional and independent engtury in order to clarify the reasons of this catastropbe and to help allocate responsibilitics.,1,"Assurances, Standards, Grievances","[1, 3, 4, 5]"
doc_0006,to set up a protocol of intervention for fuluwe catastrophes jointly with all those involved in the process.,1,"Assurances, Standards, Grievances","[1, 3, 4, 5]"
doc_0006,"From the very moment the CSR [-epartment became ¢. arc of the catastrophe and bearing in mind that the review process was under we, it got in touch with Cruz Roja Internacional in Spain to be of any assistance thet might be required.",1,"Assurances, Standards, Grievances","[1, 3, 4, 5]"
doc_0006,"an internal enquiry was immediately ordered which confirmed that d wring FY 2003-2004, approximately 84,000 units had been manufactured throuzh the abovementioned trader.",4,Remediation and Responsibility Limits,"[1, 2, 3, 4, 5, 6]"
doc_0006,"Once this process ii completed, we will consider your proposal.",1,"Assurances, Standards, Grievances","[1, 3, 4, 5]"
doc_0007,"Coca-Cola FEMSA respects diversity in all its forms, and therefore categorically rejects the accusations made by Roberto Mendoza Ralph because they are without merit.",1,"Assurances, Standards, Grievances","[1, 3, 4, 5]"
doc_0007,"In fact, almost a year ago, Coca-Cola FEMSA and Mr. Mendoza executed a mutual agreement to end his employment contract...",1,"Assurances, Standards, Grievances","[1, 3, 4, 5]"
doc_0009,Rio Tinto is disappointed about criticisms made by Friends of the Earth and the Panos Report regarding its mining project in Madagascar.,1,"Assurances, Standards, Grievances","[1, 3, 4, 5]"
doc_0009,"While we face enormous challenges to get it right, we are satisfied that our management of the project is setting new benchmarks in responsible mining practices...",1,"Assurances, Standards, Grievances","[1, 3, 4, 5]"
doc_0010,The Coca-Cola Company recognizes that our business is only as healthy and sustainable as the communities where we operate.,1,"Assurances, Standards, Grievances","[1, 3, 4, 5]"
doc_0010,"Therefore, we contribute to sustainability through a number of community-based commitments and actions while also conducting our business in a responsible manner.",1,"Assurances, Standards, Grievances","[1, 3, 4, 5]"
doc_0010,"Despite our efforts, old allegations continue to be repeated about our labor practices in Colombia.",1,"Assurances, Standards, Grievances","[1, 3, 4, 5]"
doc_0010,"The U.S. federal court has dismissed the lawsuits brought in the United States, with respect to both The Coca-Cola Company and the independent bottlers in Colombia.",29,Legal proceedings and pending determinations,"[2, 3, 4, 5, 6]"
doc_0010,And two judicial investigations in Colombia found no evidence to support the allegations that bottler management conspired to intimidate or threaten trade unionists.,0,Denial and Counter Evidence,"[1, 2, 3, 4, 5]"
doc_0011,We are disappointed that TLC [Thai Labour Campaign] - whom adidas has openly engaged with in the past - did not contact us beforehand and request direct access to the factory.,1,"Assurances, Standards, Grievances","[1, 3, 4, 5]"
doc_0011,Instead the authors of the report have relied on information collected through a small number of off-site worker interviews.,1,"Assurances, Standards, Grievances","[1, 3, 4, 5]"
doc_0011,"As a result, the report contains many inaccuracies and draws a misleading picture about the factory.",0,Denial and Counter Evidence,"[1, 2, 3, 4, 5]"
doc_0011,"[response covers specific issues including trade union rights, wages, temporary & contract labour]",1,"Assurances, Standards, Grievances","[1, 3, 4, 5]"
doc_0012,We were naturally disappointed to read Mr Briggs' comments.,0,Denial and Counter Evidence,"[1, 2, 3, 4, 5]"
doc_0012,"We take our commitment to human rights seriously, and for him to suggest otherwise is just not the case.",1,"Assurances, Standards, Grievances","[1, 3, 4, 5]"
doc_0012,Our performance in this area is made clear on our website www.shell.com/humanrights...,1,"Assurances, Standards, Grievances","[1, 3, 4, 5]"
doc_0012,"[P]eople interested in a more balanced view of Shell's performance and principles might like to read the comprehensive three-volume ""A History of Royal Dutch Shell""...",6,Responsibility and transparency,"[2, 3, 4, 5]"
doc_0013,"We welcome input on our performance, and are open to challenge and criticism",1,"Assurances, Standards, Grievances","[1, 3, 4, 5]"
doc_0013,"claims that we are ‘doing nothing’ and damaging the health of communities are just not correct, as are many of their more specific allegations.",0,Denial and Counter Evidence,"[1, 2, 3, 4, 5]"
doc_0014,BHP Billiton (20% shareholder in Kalahari Diamonds Limited (KDL)) rejects the assertion that KDL has failed to effectively consult with the local community ahead of its exploration programs.,1,"Assurances, Standards, Grievances","[1, 3, 4, 5]"
doc_0014,KDL’s consultative processes commenced in 2002 well ahead of any exploration on the ground...,1,"Assurances, Standards, Grievances","[1, 3, 4, 5]"
doc_0014,The signs referred to by Survival International are also only one very small part of KDL’s overall consultation program.,5,Contextualize & Minimize Criticism,"[4, 5]"
